+-------------+-------------+-----------------+--------------------------------------------------------------------------------------------------------------------------------------------------------+
| doctor_amka | doctor_rank | hierarchy_level | hierarchy_path                                                                                                                                         |
| 10799118384 | Registrar_A |               2 | Θεοχάρης Κωστούλας -> Τηλέμαχος Λιναρδάκη                                                                                                              |
| 57986872774 | Registrar_B |               2 | Ιππόλυτος Ανδρουλάκης -> Γιώργος Σαλέμη                                                                                                                |
| 83561595148 | Registrar_A |               2 | Ιππόλυτος Ανδρουλάκης -> Μαριλένα Κυριαζής                                                                                                             |
| 45053315869 | Registrar_A |               2 | Ιππόλυτος Ανδρουλάκης -> Χλόη Κουκουβίνος                                                                                                              |
| 65787133150 | Registrar_A |               2 | Κικιλία Κορομπόκη -> Βησσαρία Σπανδωνίδης                                                                                                              |
| 17693676320 | Registrar_B |               2 | Κικιλία Κορομπόκη -> Κίμων Γρηγοροπούλου                                                                                                               |
| 68011280598 | Registrar_A |               2 | Κικιλία Κορομπόκη -> Μάριος Σαμανίδης                                                                                                                  |
| 48951343320 | Registrar_B |               2 | Κικιλία Κορομπόκη -> Χριστοφόρα Φαρμάκη                                                                                                                |
| 81219136193 | Registrar_A |               2 | Νικολέτα Τσιωλξ -> Βρασίδας Σμπονιάς                                                                                                                   |
| 69985435346 | Registrar_A |               2 | Νικολέτα Τσιωλξ -> Δαβιδούλα Σμαρδάς                                                                                                                   |
| 36231665876 | Registrar_B |               2 | Νικολέτα Τσιωλξ -> Ματίνα Λαγγούσης                                                                                                                    |
| 50671657262 | Registrar_B |               2 | Νταίζη Χατζηγεωργίου -> Ιάσων Χαχούδης                                                                                                                 |
| 22602563421 | Registrar_A |               2 | Νταίζη Χατζηγεωργίου -> Κόσμια Μαυρίδου                                                                                                                |
| 43098050097 | Registrar_A |               2 | Νταίζη Χατζηγεωργίου -> Ροδόφλος Σκούμπρου                                                                                                             |
| 74989413435 | Registrar_B |               2 | Πελαγία Σφύρλας -> Αντιγόνη Κουκουθάκη                                                                                                                 |
| 29973763116 | Registrar_A |               2 | Πελαγία Σφύρλας -> Δήμητρα Μπακουλή                                                                                                                    |
| 58685014294 | Registrar_A |               2 | Πελαγία Σφύρλας -> Κλήμης Γρηγορόπουλος                                                                                                                |
| 35427849808 | Registrar_A |               2 | Πελαγία Σφύρλας -> Φοίβος Κυργιά                                                                                                                       |
| 55698169340 | Registrar_A |               2 | Χρυσόστομος Μωυσίδου -> Ερατώ Γούπα                                                                                                                    |
| 51712368516 | Resident    |               3 | Αντίπατρος Ζαχαρίου -> Γαρυφαλλιά Μασιάλα -> Φοίβος Παπαευαγγελίου                                                                                     |
| 32870831727 | Registrar_B |               3 | Αντίπατρος Ζαχαρίου -> Γαρυφαλλιά Μασιάλα -> Χρυσαυγή Μέλανι                                                                                           |
| 71093248086 | Resident    |               3 | Αντίπατρος Ζαχαρίου -> Φιλαρέτη Παπαστεργίου -> Νικόδημος Τζαβέλλας                                                                                    |
| 82400842710 | Registrar_B |               3 | Θεολόγος Ρόκκα -> Θεανώ Δανδανίδου -> Ιγνάτιος Ταξίδου                                                                                                 |
| 98776945314 | Registrar_B |               3 | Θεολόγος Ρόκκα -> Θεανώ Δανδανίδου -> Κρινιώ Ροϊδούλης                                                                                                 |
| 68071545168 | Resident    |               3 | Θεολόγος Ρόκκα -> Ιερόθεος Θεοδωρικάκος -> Βεατρίκη Ρέντας                                                                                             |
| 17240050455 | Resident    |               3 | Θεολόγος Ρόκκα -> Φρειδερίκη Παπαδήμα -> Ιππολύτη Κουτσούμπεη                                                                                          |
| 31931491905 | Registrar_B |               3 | Θεολόγος Ρόκκα -> Φρειδερίκη Παπαδήμα -> Μελένια Χρυσοβέργης                                                                                           |
| 27484677378 | Resident    |               3 | Θεολόγος Ρόκκα -> Χριστόδουλος Λιολιοπούλου -> Ήρα Γιαπατζής                                                                                           |
| 52047116719 | Registrar_B |               3 | Θεοχάρης Κωστούλας -> Θεοχαρούλα Λαγοπάτης -> Ανδριανή Γεράρδης                                                                                        |
| 69096705466 | Registrar_B |               3 | Θεοχάρης Κωστούλας -> Θεοχαρούλα Λαγοπάτης -> Άρτεμις Λεντζίου                                                                                         |
| 69222196937 | Resident    |               3 | Θεοχάρης Κωστούλας -> Θεοχαρούλα Λαγοπάτης -> Μακρίνα Καβούρης                                                                                         |
| 48877190659 | Resident    |               3 | Θεοχάρης Κωστούλας -> Θεοχαρούλα Λαγοπάτης -> Ολύμπια Κατσούλα                                                                                         |
| 99049027874 | Resident    |               3 | Ιππόλυτος Ανδρουλάκης -> Γιώργος Σαλέμη -> Πελοπίδας Δημοβελής                                                                                         |
| 64641708053 | Registrar_B |               3 | Ιππόλυτος Ανδρουλάκης -> Μαριλένα Κυριαζής -> Μαρία Ροϊδούλης                                                                                          |
| 77014363495 | Registrar_B |               3 | Ιππόλυτος Ανδρουλάκης -> Χλόη Κουκουβίνος -> Θρασύβουλος Σταθόπουλος                                                                                   |
| 94808313678 | Registrar_B |               3 | Ιππόλυτος Ανδρουλάκης -> Χλόη Κουκουβίνος -> Λεωνιδιά Κασμιρλή                                                                                         |
| 74964990913 | Resident    |               3 | Κικιλία Κορομπόκη -> Κίμων Γρηγοροπούλου -> Μηνάς Ζαφείρης                                                                                             |
| 00330923271 | Registrar_B |               3 | Κικιλία Κορομπόκη -> Μάριος Σαμανίδης -> Αριστέα Χιωτίδου                                                                                              |
| 78755886753 | Resident    |               3 | Κικιλία Κορομπόκη -> Μάριος Σαμανίδης -> Βαλέρια Καρκανάκη                                                                                             |
| 48236629946 | Registrar_B |               3 | Κικιλία Κορομπόκη -> Μάριος Σαμανίδης -> Γιασεμή Αμυγδαλάκης                                                                                           |
| 56232858842 | Resident    |               3 | Κικιλία Κορομπόκη -> Μάριος Σαμανίδης -> Ευμένιος Αγγελίκας                                                                                            |
| 48734714345 | Registrar_B |               3 | Κικιλία Κορομπόκη -> Μάριος Σαμανίδης -> Λυκούργος Δουλουφάκη                                                                                          |
| 21024994717 | Resident    |               3 | Κικιλία Κορομπόκη -> Χριστοφόρα Φαρμάκη -> Πολυκράτης Σκαβέντζου                                                                                       |
| 85574443135 | Registrar_B |               3 | Νικολέτα Τσιωλξ -> Βρασίδας Σμπονιάς -> Γραμματική Βούρας                                                                                              |
| 38597703482 | Resident    |               3 | Νικολέτα Τσιωλξ -> Βρασίδας Σμπονιάς -> Πανδώρα Δαρδιώτη                                                                                               |
| 45299124190 | Registrar_B |               3 | Νικολέτα Τσιωλξ -> Δαβιδούλα Σμαρδάς -> Βάιος Μιχελή                                                                                                   |
| 06409097439 | Resident    |               3 | Νικολέτα Τσιωλξ -> Δαβιδούλα Σμαρδάς -> Παναγιώτα Μωραΐτη                                                                                              |
| 75496513709 | Resident    |               3 | Νταίζη Χατζηγεωργίου -> Ιάσων Χαχούδης -> Βιργινία Χέλιος                                                                                              |
| 47436713695 | Resident    |               3 | Νταίζη Χατζηγεωργίου -> Κόσμια Μαυρίδου -> Βενετία Καραδήμος                                                                                           |
| 99016272046 | Registrar_B |               3 | Νταίζη Χατζηγεωργίου -> Κόσμια Μαυρίδου -> Χάρη Ραφιός                                                                                                 |
| 99650752735 | Registrar_B |               3 | Νταίζη Χατζηγεωργίου -> Ροδόφλος Σκούμπρου -> Σταύρος Σταμούλης                                                                                        |
| 47134936183 | Resident    |               3 | Πελαγία Σφύρλας -> Αντιγόνη Κουκουθάκη -> Θωμαίς Περάκης                                                                                               |
| 36057662702 | Resident    |               3 | Πελαγία Σφύρλας -> Αντιγόνη Κουκουθάκη -> Σαμουήλ Κοτρώτσου                                                                                            |
| 71756551256 | Resident    |               3 | Πελαγία Σφύρλας -> Κλήμης Γρηγορόπουλος -> Μιχάλης Ανδριανός                                                                                           |
| 36995777387 | Registrar_B |               3 | Χρυσόστομος Μωυσίδου -> Ερατώ Γούπα -> Παναγιώτης Τολούδης                                                                                             |
| 82146584044 | Resident    |               4 | Θεολόγος Ρόκκα -> Θεανώ Δανδανίδου -> Ιγνάτιος Ταξίδου -> Ερασμία Τσαμτσούρη                                                                           |
| 39421047095 | Resident    |               4 | Θεολόγος Ρόκκα -> Θεανώ Δανδανίδου -> Κρινιώ Ροϊδούλης -> Σπήλιος Παυλάκη                                                                              |
| 12328120679 | Resident    |               4 | Θεολόγος Ρόκκα -> Φρειδερίκη Παπαδήμα -> Μελένια Χρυσοβέργης -> Αυγέρης Χρυσουλής                                                                      |
| 58657809134 | Resident    |               4 | Ιππόλυτος Ανδρουλάκης -> Χλόη Κουκουβίνος -> Λεωνιδιά Κασμιρλή -> Υάκινθος Κουτκιά                                                                     |
| 71870262174 | Resident    |               4 | Νικολέτα Τσιωλξ -> Βρασίδας Σμπονιάς -> Γραμματική Βούρας -> Προδρομία Παπαροϊδάμης                                                                    |
| 47407482175 | Resident    |               4 | Χρυσόστομος Μωυσίδου -> Ερατώ Γούπα -> Παναγιώτης Τολούδης -> Αυγέρης Καλαμπαλίκης                                                                     |
+-------------+-------------+-----------------+--------------------------------------------------------------------------------------------------------------------------------------------------------+
