+-------------+----------------------------+--------------------------------------+
| amka        | first_name                 | last_name                            |
| 26870568566 | Γλυκερία                   | Καχριμανίδη                          |
| 68970283857 | Βικτόρια                   | Κελλάρης                             |
| 52404157473 | Παυλίνα                    | Κερασοβίτης                          |
| 00478686337 | Εριφύλη                    | Κεσκίνη                              |
| 17932710405 | Χριστοφόρα                 | Κετεσίδου                            |
| 17251355215 | Ευπραξία                   | Κιοσές                               |
| 36231665876 | Αύγουστος                  | Κολοβός                              |
| 41182449353 | Θωμάς                      | Κολοβός                              |
| 32870831727 | Αίας                       | Κοντάκος                             |
| 68071545168 | Θεανώ                      | Κοτσινά                              |
| 06848666188 | Χαρίκλεια                  | Κοτσινά                              |
| 48877190659 | Αγόρω                      | Κουκουθάκη                           |
| 77470168733 | Κυριακή                    | Κουκουλιάντας                        |
| 91212775618 | Μιλτιάδης                  | Κουλαουσάρη                          |
| 52047116719 | Δρόσος                     | Κουλίζος                             |
| 12328120679 | Αστέρω                     | Κουμιώτης                            |
| 03865719182 | Κρυσταλλένια               | Κουρλού                              |
| 77014363495 | Πολυζώης                   | Κούρτης                              |
| 71709991738 | Αφροδίτη                   | Κουταλιός                            |
| 15869380686 | Γλυκερία                   | Κουτελιέρης                          |
| 00330923271 | Κώστας                     | Κουτσιουμάρη                         |
| 57905072368 | Αλκινόη                    | Κουτσουρέλη                          |
| 78585497334 | Στεργιαννώ                 | Κτενίδης                             |
| 27484677378 | Ταξιάρχης                  | Κυμπάρης                             |
| 35365419518 | Κλέαρχος                   | Κωστοπούλου                          |
| 91373678508 | Ζηνοβία                    | Κωτσιονοπούλου                       |
| 50997700886 | Χιονιά                     | Λαγοπάτης                            |
| 90965610143 | Βερόνικα                   | Λέκκα                                |
| 38000307562 | Σταύρος                    | Λέλεκας                              |
| 61943114262 | Λεωνιδιά                   | Λιάνου                               |
| 55241406029 | Αργύριος                   | Λιθοξοΐδης                           |
| 59180339740 | Πολυχρονία                 | Λιθοξοΐδης                           |
| 11254573875 | Σαλώμη                     | Λιθοξοΐδης                           |
| 48236629946 | Σπήλιος                    | Λιόλιος                              |
| 87334270866 | Βερόνικα                   | Λιούκα                               |
| 01065133387 | Αγάπιος                    | Λίτσιου                              |
| 18017046226 | Αννίκα                     | Λυρή                                 |
| 18785191088 | Βενετία                    | Μακρή                                |
| 09935387584 | Φίλιππος                   | Μακρυγιάννης                         |
| 32966851612 | Ολύμπια                    | Μανουσέλης                           |
| 65431027868 | Νεόκλεια                   | Μαντάρης                             |
| 89944171545 | Ευλαμπία                   | Μάντου                               |
| 98776945314 | Παγώνα                     | Μαράκη                               |
| 73178108013 | Ροδάνθη                    | Μαράκη                               |
| 19380262067 | Φιλιππία                   | Μαργαρώνης                           |
| 88680589113 | Στεργιανή                  | Μαρκόπουλος                          |
| 61799042102 | Μιχαήλ                     | Μασαούτη                             |
| 83982622444 | Ανθή                       | Μασίκα                               |
| 18227824896 | Αίας                       | Μαυροειδάκος                         |
| 47436713695 | Ζαχαρούλα                  | Μαυροειδάκος                         |
| 59782071518 | Μαλαματένια                | Μαυρομανωλάκης                       |
| 75140105123 | Θέμις                      | Μαυρούτσος                           |
| 46471543799 | Ζαχαρούλα                  | Μέλανι                               |
| 02462996065 | Βερόνικα                   | Μελιτσόπουλος                        |
| 69296627828 | Αλίκη                      | Μεξή                                 |
| 46800722903 | Ανδριανή                   | Μήτσου                               |
| 55690927557 | Λυγερή                     | Μιλέα                                |
| 86736226609 | Γλυκερία                   | Μίσχος                               |
| 58713971870 | Αυγή                       | Μίχος                                |
| 17043030548 | Ρέα                        | Μίχου                                |
| 01742684145 | Βαλέρια                    | Μπακουλή                             |
| 15410067626 | Αγαθή                      | Μπαλή                                |
| 39421047095 | Αρχοντία                   | Μποζίκης                             |
| 69222196937 | Αγαθάγγελος                | Μπότζα                               |
| 24241541520 | Αρετή                      | Μπότης                               |
| 04637454990 | Κασσάνδρα                  | Μπραζιώτης                           |
| 32061632945 | Αργύριος                   | Μυλωνίδου                            |
| 57986872774 | Ξανθίππη                   | Μωραΐτη                              |
| 50074329271 | Παυσανίας                  | Νανούρης                             |
| 81219136193 | Θεόκλητος                  | Νάντσου                              |
| 58771753556 | Ιουλία                     | Νάντσου                              |
| 31952058527 | Ιωάννα                     | Νάσσου                               |
| 36057662702 | Στέλλιος                   | Νίκα                                 |
| 68011280598 | Θεόδωρος                   | Ντόβας                               |
| 20489964235 | Θεανώ                      | Ντόκος                               |
| 06596575692 | Ηλέκτρα                    | Ντότση                               |
| 94078161849 | Ευτέρπη                    | Νώε                                  |
| 49912513412 | Τιμοθέα                    | Ξηροτύρη                             |
| 94808313678 | Μαλαματένια                | Ορφανιώτης                           |
| 36110371293 | Γλυκερία                   | Πάγκαλος                             |
| 80801006231 | Ζαφειρία                   | Παληός                               |
| 01658202970 | Αννίκα                     | Παναγιωτακόπουλος                    |
| 41199867980 | Ιορδανία                   | Παναγιωτακοπούλου                    |
| 16724342661 | Κορνηλία                   | Πάντζιου                             |
| 10799118384 | Λάζαρος                    | Πάντου                               |
| 10690331190 | Φεβρωνία                   | Πάντου                               |
| 53051522047 | Συμέλα                     | Παπαδάκης                            |
| 89025039261 | Κλημεντίνη                 | Παπαθωμά                             |
| 83561595148 | Μαρκέλλα                   | Παπαροϊδάμης                         |
| 51627136111 | Ελισάβετ                   | Παπασπηλιωτοπούλου                   |
| 51518644925 | Βενετία                    | Παπατρέχας                           |
| 00257872982 | Απολλωνία                  | Πασσαλίδης                           |
| 06234456557 | Βαλέριος                   | Πασσαλίδης                           |
| 21277997995 | Φιλομήλα                   | Παυλή                                |
| 52239559059 | Ανθή                       | Πιπερίδη                             |
| 22325367294 | Κατερίνα                   | Πισκοπάνη                            |
| 93756798250 | Αφροδίτη                   | Πισχινάς                             |
| 55188442258 | Χρυσούλα                   | Πιτερός                              |
| 24075818141 | Στεργιανή                  | Πίτσης                               |
| 40164005242 | Ελπίς                      | Πλακωτάρης                           |
| 24609539621 | Φραντζέσκα                 | Πολατίδου                            |
| 64710276773 | Καλλιρόη                   | Πολυζωάκης                           |
| 25250029218 | Βενετία                    | Ποταμιάνου                           |
| 84219933083 | Θεοφύλακτη                 | Πουλιέζος                            |
| 51712368516 | Αλκιβιάδης                 | Πρέκα                                |
| 78596969155 | Αρετή                      | Ραυτοπούλου                          |
| 88880670654 | Λεωνιδιά                   | Ρίγκος                               |
| 23705895782 | Χριστόφιλη                 | Ρόδης                                |
| 02235697252 | Μαριλένα                   | Σαλέμη                               |
| 48951343320 | Τριανταφυλλιά              | Σαουλίδης                            |
| 43757584419 | Αγλαΐα                     | Σαριδάκη                             |
| 50671657262 | Στυλιανή                   | Σαρίκας                              |
| 32830965207 | Ευσεβία                    | Σάτλας                               |
| 73947312172 | Ζησούλα                    | Σάτλας                               |
| 75496513709 | Κυπριανή                   | Σγουρένα                             |
| 91216558523 | Ντανιέλα                   | Σηκωτίδου                            |
| 41389994043 | Αυγουστίνα                 | Σίββα                                |
| 98720506149 | Άλκηστις                   | Σιμιτζή                              |
| 95995342836 | Κυριακή                    | Σιτόπουλος                           |
| 84270103930 | Τατιάνα                    | Σκαφτούρου                           |
| 21024994717 | Ανδρέας                    | Σκοτάδη                              |
| 91545226752 | Αργυρούλα                  | Σολακούδης                           |
| 54479627570 | Πολυνίκη                   | Σολωμίδου                            |
| 45299124190 | Βενιζέλος                  | Σουλιντζής                           |
| 03067383028 | Σεμίνα                     | Σπανός                               |
| 84086211823 | Ευαγγελία                  | Σπασέγκου                            |
| 72423884969 | Ευσεβεία                   | Σταμούλη                             |
| 77584161692 | Καλλιρρόη                  | Στυλιανίδου                          |
| 52704774349 | Σαπφώ                      | Σύκας                                |
| 81685054235 | Τιμοθέα                    | Συνοδινού                            |
| 98254494812 | Ευτυχία                    | Συρμού                               |
| 06409097439 | Χριστιάνα                  | Συρμού                               |
| 95701543039 | Θεοχάρης                   | Τάχας                                |
| 17240050455 | Δικαία                     | Ταχμαζίδης                           |
| 64037613791 | Απόλλων                    | Τζάγκα                               |
| 45054447132 | Θεοφίλη                    | Τζαλλας                              |
| 25324472099 | Φαίδρα                     | Τζεβελέκος                           |
| 68701462638 | Ισαάκ                      | Τζιώτζης                             |
| 58685014294 | Χρίστος                    | Τόμπρη                               |
| 21510702966 | Θεόπιστος                  | Τορομίδης                            |
| 82400842710 | Πολυτίμη                   | Τριαντακωνσταντής                    |
| 75001701277 | Χριστόφιλη                 | Τριαντακωνσταντής                    |
| 45786103579 | Φρίξος                     | Τσαμαδός                             |
| 40049915478 | Λαμπρινή                   | Τσαχάκη                              |
| 71093248086 | Υβόννη                     | Τσετσέρη                             |
| 03413164752 | Σμαράγδα                   | Τσιατής                              |
| 73936385467 | Αντιγόνη                   | Τσιρώνης                             |
| 69985435346 | Άλκηστις                   | Τσούπρας                             |
| 79748016245 | Ιφιγένεια                  | Τσουράκη                             |
| 29922995900 | Διαμαντούλα                | Τυράλης                              |
| 36995777387 | Κλειώ                      | Φασουλή                              |
| 03236519941 | Μελίνα                     | Φλασκή                               |
| 35421689421 | Φαίδρα                     | Φούσκας                              |
| 54615679334 | Βερόνικα                   | Φρονιμάκη                            |
| 78361340745 | Νεφέλη                     | Φυτιλή                               |
| 69731121965 | Ρεγγίνα                    | Φωκαδελής                            |
| 71756551256 | Φανούριος                  | Χαρισιάδης                           |
| 78669125177 | Καλλιόπη                   | Χαρμπίλας                            |
| 41124903521 | Βασίλης                    | Χατζελλής                            |
| 93759738320 | Θεοτόκης                   | Χατζελλής                            |
| 79788191485 | Κοκκώνα                    | Χατζηγρηγοράκης                      |
| 77449058147 | Ξανθίππη                   | Χατζηδάκη                            |
| 05064138367 | Κύρος                      | Χατζημιχαήλ                          |
| 65787133150 | Θέμης                      | Χατζόπουλος                          |
| 01666870021 | Γλαύκη                     | Χέλιος                               |
| 17693676320 | Αγάπιος                    | Χολέβα                               |
| 87101226916 | Ιερεμίας                   | Χορτάτου                             |
| 99049027874 | Σπάρτη                     | Χουντής                              |
| 99119148564 | Γαλήνη                     | Χουχουλής                            |
| 24825135346 | Ευαγγελία                  | Χρυσανθακοπούλου                     |
| 69409749930 | Θέκλα                      | Ψάλτης                               |
+-------------+----------------------------+--------------------------------------+
